"Domain.Code","Domain","Area.Code..FAO.","Area","Element.Code","Element","Item.Code..CPC.","Item","Year.Code","Year","Unit","Value","Flag","Flag.Description","Note"
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1983,1983,"ha",476220,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1983,1983,"t",475000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1984,1984,"ha",459800,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1984,1984,"t",455000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1985,1985,"ha",445880,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1985,1985,"t",615000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1986,1986,"ha",8e+05,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1986,1986,"t",650000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1987,1987,"ha",758000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1987,1987,"t",663000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1988,1988,"ha",476700,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1988,1988,"t",409660,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1989,1989,"ha",486960,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1989,1989,"t",537150,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1990,1990,"ha",380000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1990,1990,"t",464000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1991,1991,"ha",6e+05,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1991,1991,"t",612000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1992,1992,"ha",683071,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1992,1992,"t",587128,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1993,1993,"ha",641610,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1993,1993,"t",719140,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1994,1994,"ha",663700,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1994,1994,"t",478300,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1995,1995,"ha",689500,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1995,1995,"t",839000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1996,1996,"ha",665500,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1996,1996,"t",872000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1997,1997,"ha",622400,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1997,1997,"t",538200,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1998,1998,"ha",596200,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1998,1998,"t",563380,"A","Official figure",""
