"family","species","month","year","x","y"
"Bovidae","Syncerus caffer",9,2024,36.15615,-3.716646
"Felidae","Panthera leo",9,2024,35.479762,-3.368275
"Felidae","Panthera leo",11,2024,35.54118,-3.117997
"Elephantidae","Loxodonta africana",9,2022,34.815715,-7.675609
"Felidae","Panthera pardus",12,2024,34.886326,-3.033505
"Elephantidae","Loxodonta africana",11,2024,34.585399,-2.213483
"Elephantidae","Loxodonta africana",9,2024,35.574647,-3.15808
"Felidae","Panthera leo",1,2025,34.944131,-2.821209
"Elephantidae","Loxodonta africana",9,2024,35.129659,-2.186214
"Felidae","Panthera leo",11,2024,35.140108,-2.77897
"Bovidae","Syncerus caffer",12,2024,35.796309,-3.100225
"Felidae","Panthera leo",2,2023,35.010951,-2.764882
"Felidae","Panthera leo",1,2025,34.715044,-2.637562
"Elephantidae","Loxodonta africana",9,2024,34.818906,-2.524638
"Felidae","Panthera leo",3,2024,36.127083,-3.879735
"Bovidae","Syncerus caffer",9,2024,34.903448,-2.116185
"Felidae","Panthera pardus",2,2023,35.17104,-2.760466
"Rhinocerotidae","Diceros bicornis",11,2013,35.548298,-3.170129
"Felidae","Panthera leo",10,2024,34.801571,-2.496617
"Felidae","Panthera leo",9,2022,35.688864,-3.024592
"Felidae","Panthera leo",11,2013,34.781051,-2.229059
"Felidae","Panthera pardus",12,2024,35.329225,-1.974832
"Bovidae","Syncerus caffer",3,2024,36.167563,-3.899858
"Felidae","Panthera leo",7,2013,35.753783,-3.08921
"Bovidae","Syncerus caffer",3,2018,36.027627,-3.794343
"Bovidae","Syncerus caffer",10,2024,35.454869,-3.37503
"Felidae","Panthera leo",2,2017,38.123363,-7.647158
"Felidae","Panthera leo",10,2024,34.847986,-2.007124
"Felidae","Panthera leo",3,2018,35.509539,-3.078001
"Elephantidae","Loxodonta africana",9,2022,35.560498,-3.338662
"Felidae","Panthera leo",8,2024,34.925162,-2.655992
"Elephantidae","Loxodonta africana",7,2013,34.72297,-2.246734
"Felidae","Panthera leo",11,2024,35.418271,-3.119311
"Felidae","Panthera pardus",7,2013,34.961938,-2.248333
"Bovidae","Syncerus caffer",9,2024,35.170498,-1.945751
"Elephantidae","Loxodonta africana",11,2024,35.987629,-3.681104
"Bovidae","Syncerus caffer",7,2019,36.187675,-4.051172
"Bovidae","Syncerus caffer",7,2019,34.965716,-2.22144
"Bovidae","Syncerus caffer",10,2024,35.955936,-3.347307
"Bovidae","Syncerus caffer",11,2024,36.886277,-3.338298
"Felidae","Panthera leo",7,2019,34.906225,-2.324689
"Felidae","Panthera leo",7,2019,34.824081,-2.337709
"Elephantidae","Loxodonta africana",9,2024,36.90176,-3.355878
"Felidae","Panthera leo",10,2024,35.581733,-3.178478
"Felidae","Panthera leo",10,2024,35.486619,-3.03409
"Bovidae","Syncerus caffer",1,2021,37.227559,-7.046988
"Felidae","Panthera leo",10,2024,35.556892,-3.197054
"Felidae","Panthera leo",11,2024,37.570332,-7.182107
"Elephantidae","Loxodonta africana",11,2024,37.156331,-7.358466
"Felidae","Panthera leo",7,2019,35.59603,-3.124159
"Elephantidae","Loxodonta africana",11,2024,36.199075,-3.679989
"Bovidae","Syncerus caffer",11,2024,36.974086,-3.357637
"Elephantidae","Loxodonta africana",7,2024,35.630794,-7.557007
"Felidae","Panthera leo",10,2024,35.599398,-3.175388
"Felidae","Panthera leo",8,2014,34.844445,-2.214246
"Felidae","Panthera leo",8,2014,34.914233,-2.333203
"Felidae","Panthera leo",11,2024,36.0002,-4.059503
"Felidae","Panthera leo",7,2019,34.977778,-2.263673
"Elephantidae","Loxodonta africana",11,2024,35.987247,-3.662863
"Felidae","Panthera pardus",7,2019,34.939557,-2.226882
"Elephantidae","Loxodonta africana",10,2024,35.495104,-3.05968
"Elephantidae","Loxodonta africana",10,2024,35.935288,-3.274749
"Elephantidae","Loxodonta africana",7,2019,34.89686,-2.278112
"Felidae","Panthera leo",7,2019,34.839387,-2.375167
"Bovidae","Syncerus caffer",9,2024,34.823732,-2.478214
"Elephantidae","Loxodonta africana",11,2024,36.088537,-3.668942
"Felidae","Panthera leo",10,2024,35.533802,-3.150733
"Felidae","Panthera pardus",7,2019,34.989848,-2.349207
"Felidae","Panthera leo",7,2020,37.08283,-7.373156
"Felidae","Panthera leo",10,2024,35.436843,-3.104084
"Bovidae","Syncerus caffer",8,2017,35.453354,-3.165156
"Elephantidae","Loxodonta africana",8,2014,35.48954,-3.04994
"Felidae","Panthera leo",8,2024,34.337689,-7.039543
"Bovidae","Syncerus caffer",11,2024,36.145666,-4.183796
"Elephantidae","Loxodonta africana",7,2024,36.602807,-5.762863
"Elephantidae","Loxodonta africana",9,2022,34.864428,-7.644536
"Bovidae","Syncerus caffer",7,2019,34.81095,-2.294643
"Felidae","Panthera pardus",7,2019,34.889658,-2.2882
"Bovidae","Syncerus caffer",11,2024,37.49335,-7.19793
"Felidae","Panthera leo",7,2019,34.885234,-2.381737
"Felidae","Panthera leo",9,2024,36.811152,-3.394565
"Felidae","Panthera leo",7,2019,35.497077,-3.104828
"Rhinocerotidae","Diceros bicornis",10,2024,35.408252,-3.144942
"Felidae","Panthera pardus",7,2019,34.857453,-2.327032
"Bovidae","Syncerus caffer",7,2019,35.451693,-3.098145
"Felidae","Panthera leo",8,2017,35.567207,-3.359702
"Felidae","Panthera leo",1,2021,37.491443,-7.117546
"Elephantidae","Loxodonta africana",9,2019,36.000105,-3.663758
"Elephantidae","Loxodonta africana",7,2019,36.18989,-4.11152
"Elephantidae","Loxodonta africana",8,2017,35.891613,-3.760381
"Felidae","Panthera leo",10,2024,35.416146,-3.125097
"Bovidae","Syncerus caffer",7,2020,37.442933,-7.142885
"Elephantidae","Loxodonta africana",1,2024,36.194514,-3.918798
"Elephantidae","Loxodonta africana",11,2024,37.26401,-6.853123
"Elephantidae","Loxodonta africana",8,2017,36.105984,-3.693391
"Felidae","Panthera leo",7,2024,35.933969,-8.262949
"Felidae","Panthera leo",11,2024,34.961199,-2.497423
"Bovidae","Syncerus caffer",7,2020,37.547856,-7.034963
"Elephantidae","Loxodonta africana",11,2024,37.4729,-7.101359
"Elephantidae","Loxodonta africana",11,2024,36.092386,-3.744164
"Felidae","Panthera pardus",8,2014,35.417707,-3.173979
"Elephantidae","Loxodonta africana",7,2020,37.532804,-7.103105
"Elephantidae","Loxodonta africana",2,2023,36.061947,-3.444612
"Elephantidae","Loxodonta africana",12,2020,34.61633,-2.419878
"Felidae","Panthera pardus",12,2020,34.641973,-2.471217
"Felidae","Panthera leo",7,2017,34.826913,-2.384338
"Felidae","Panthera leo",7,2017,34.914764,-2.318392
"Felidae","Panthera leo",12,2020,34.616323,-2.519446
"Felidae","Panthera pardus",7,2017,34.930182,-2.528654
"Felidae","Panthera leo",12,2020,35.028554,-2.864026
"Felidae","Panthera leo",12,2020,35.482071,-3.356327
"Elephantidae","Loxodonta africana",3,2019,34.854073,-6.588663
"Felidae","Panthera leo",7,2017,34.800871,-2.293974
"Bovidae","Syncerus caffer",1,2021,37.291737,-7.183754
"Rhinocerotidae","Diceros bicornis",12,2020,35.540238,-3.20047
"Elephantidae","Loxodonta africana",12,2020,38.031459,-4.107386
"Felidae","Panthera leo",12,2020,34.804408,-2.932116
"Felidae","Panthera leo",7,2017,34.965123,-2.282166
"Elephantidae","Loxodonta africana",12,2020,34.896668,-2.828203
"Elephantidae","Loxodonta africana",2,2023,36.19754,-3.526112
"Felidae","Panthera leo",7,2017,34.955073,-2.267469
"Felidae","Panthera pardus",9,2024,34.978523,-2.262967
"Elephantidae","Loxodonta africana",10,2024,34.867257,-2.349629
"Elephantidae","Loxodonta africana",9,2024,36.50833,-7.610856
"Elephantidae","Loxodonta africana",9,2024,34.757528,-2.465416
"Elephantidae","Loxodonta africana",9,2024,34.782105,-2.542613
"Bovidae","Syncerus caffer",10,2024,34.99506,-2.212344
"Bovidae","Syncerus caffer",9,2024,34.747908,-2.57727
"Felidae","Panthera leo",10,2024,34.929166,-2.240229
"Elephantidae","Loxodonta africana",7,2017,34.973948,-2.42114
"Felidae","Panthera leo",9,2024,35.086835,-2.908082
"Elephantidae","Loxodonta africana",10,2024,34.96917,-2.217425
"Elephantidae","Loxodonta africana",10,2024,34.872625,-2.293698
