"family","species","month","year","x","y"
"Elephantidae","Loxodonta africana",6,2016,34.741017,-2.786121
"Elephantidae","Loxodonta africana",10,2024,36.134927,-3.615154
"Bovidae","Syncerus caffer",11,2021,34.976115,-2.556693
"Felidae","Panthera pardus",9,2024,35.043265,-2.323009
"Elephantidae","Loxodonta africana",7,2016,35.507354,-3.014538
"Bovidae","Syncerus caffer",9,2024,34.30943,-2.068964
"Felidae","Panthera leo",9,2024,35.027342,-2.051188
"Bovidae","Syncerus caffer",6,2016,35.163802,-2.934191
"Elephantidae","Loxodonta africana",10,2024,36.027847,-3.671916
"Felidae","Panthera pardus",8,2022,33.997648,-6.92624
"Felidae","Panthera leo",6,2016,36.095453,-4.151795
"Elephantidae","Loxodonta africana",9,2024,35.829805,-3.835673
"Elephantidae","Loxodonta africana",11,2021,35.022896,-2.054729
"Bovidae","Syncerus caffer",11,2021,34.97087,-2.476429
"Elephantidae","Loxodonta africana",6,2016,36.02857,-3.906673
"Elephantidae","Loxodonta africana",6,2016,35.752996,-3.457362
