Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1972","1972","ha","1000000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1972","1972","t","621000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1973","1973","ha","1000000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1973","1973","t","887000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1974","1974","ha","1100000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1974","1974","t","761000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1975","1975","ha","1100000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1975","1975","t","1367000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1976","1976","ha","1300000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1976","1976","t","1449000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1977","1977","ha","1300000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1977","1977","t","1664000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1978","1978","ha","1300000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1978","1978","t","1465000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1979","1979","ha","1300000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1979","1979","t","1720000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1980","1980","ha","1400000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1980","1980","t","1726000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1981","1981","ha","1350000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1981","1981","t","1839000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1982","1982","ha","1231550","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1982","1982","t","1654000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1983","1983","ha","1229620","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1983","1983","t","1651000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1984","1984","ha","1411830","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1984","1984","t","1939000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1985","1985","ha","1576280","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1985","1985","t","2093000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1986","1986","ha","1905000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1986","1986","t","2211000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1987","1987","ha","1724000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1987","1987","t","2359000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1988","1988","ha","1850000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1988","1988","t","2339000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1989","1989","ha","1980000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1989","1989","t","3128000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1990","1990","ha","1631260","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1990","1990","t","2445000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1991","1991","ha","1848300","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1991","1991","t","2331800","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1992","1992","ha","1908163","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1992","1992","t","2226424","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1993","1993","ha","1824000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1993","1993","t","2282200","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1994","1994","ha","1203000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1994","1994","t","1485800","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1995","1995","ha","1368000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1995","1995","t","2874400","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1996","1996","ha","1580000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1996","1996","t","2822000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1997","1997","ha","1564000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1997","1997","t","1831200","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0112","Maize (corn)","1998","1998","ha","2088000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0112","Maize (corn)","1998","1998","t","2684600","A","Official figure",""
